,Date,Open,High,Low,Close,Volume,Turnover
458,2021-10-26,26.0,26.0,26.0,26.0,0.0,0.0
459,2021-10-27,49.0,49.0,49.0,49.0,0.0,0.0
460,2021-10-28,45.0,45.0,45.0,45.0,0.0,0.0
461,2021-10-29,46.0,46.0,46.0,46.0,0.0,0.0
462,2021-11-01,20.0,20.0,20.0,20.0,0.0,0.0
463,2021-11-02,33.0,33.0,33.0,33.0,0.0,0.0
464,2021-11-03,21.0,21.0,21.0,21.0,0.0,0.0
465,2021-11-04,29.0,29.0,29.0,29.0,0.0,0.0
466,2021-11-05,24.0,24.0,24.0,24.0,0.0,0.0
467,2021-11-08,15.0,15.0,15.0,15.0,0.0,0.0
468,2021-11-09,29.0,29.0,29.0,29.0,0.0,0.0
469,2021-11-10,38.0,38.0,38.0,38.0,0.0,0.0
470,2021-11-11,51.0,51.0,51.0,51.0,0.0,0.0
471,2021-11-12,41.0,41.0,41.0,41.0,0.0,0.0
472,2021-11-15,44.0,44.0,44.0,44.0,0.0,0.0
473,2021-11-16,56.0,56.0,56.0,56.0,0.0,0.0
474,2021-11-17,82.0,82.0,82.0,82.0,0.0,0.0
475,2021-11-18,108.0,108.0,108.0,108.0,0.0,0.0
476,2021-11-19,112.0,112.0,112.0,112.0,0.0,0.0
477,2021-11-22,129.0,129.0,129.0,129.0,0.0,0.0
478,2021-11-23,177.0,177.0,177.0,177.0,0.0,0.0
479,2021-11-24,87.0,87.0,87.0,87.0,0.0,0.0
480,2021-11-26,202.0,202.0,202.0,202.0,0.0,0.0
481,2021-11-29,125.0,125.0,125.0,125.0,0.0,0.0
482,2021-11-30,280.0,280.0,280.0,280.0,0.0,0.0
483,2021-12-01,237.0,237.0,237.0,237.0,0.0,0.0
484,2021-12-02,188.0,188.0,188.0,188.0,0.0,0.0
485,2021-12-03,208.0,208.0,208.0,208.0,0.0,0.0
486,2021-12-06,137.0,137.0,137.0,137.0,0.0,0.0
